119 48 43 56 58 68 173 167 199 199 
120 49 47 47 50 44 41 171 127 199 
121 41 34 61 79 56 199 199 199 199 
122 11 49 47 70 62 61 89 199 199 
123 37 47 42 54 50 70 199 199 199 
124 35 29 29 39 63 86 82 199 199 
125 32 35 26 50 42 59 199 157 199 
126 41 67 49 66 63 58 48 199 199 
127 20 36 55 49 72 103 117 199 199 
128 43 39 44 39 40 82 199 113 199 
129 39 36 42 35 79 93 190 199 199 
130 39 47 46 47 59 65 199 199 199 
131 56 47 42 52 83 199 110 199 55 
132 52 28 48 50 89 118 75 199 199 
133 38 44 37 51 51 74 199 199 199 
134 48 46 43 52 48 69 97 199 199 
135 17 27 33 35 41 84 199 199 199 
136 4 12 51 41 55 61 199 199 199 
137 55 53 52 57 54 91 199 199 199 
138 51 54 56 32 50 51 42 199 199 
139 38 28 37 39 35 61 199 199 199 
140 43 45 58 54 50 45 64 199 199 
141 32 49 59 75 62 96 199 199 199 
142 47 46 49 47 59 65 31 199 199 
143 20 56 54 38 54 56 199 199 199 
144 43 52 37 47 93 131 85 199 199 
145 47 66 49 47 47 98 92 199 199 
146 39 48 44 47 68 41 191 160 199 
147 56 46 49 52 45 54 159 114 199 
148 47 47 46 44 50 158 199 95 199 
149 50 64 56 43 119 102 199 66 199 
150 35 47 34 53 62 66 84 199 199 
151 40 24 38 26 64 85 199 199 199 
152 42 31 41 41 47 145 199 199 199 
153 20 37 78 57 199 84 42 199 199 
154 34 75 79 79 199 57 199 199 199 
155 37 51 44 68 50 133 199 179 199 
156 27 40 44 44 76 114 199 74 199 
157 38 29 34 43 46 49 199 71 199 
158 27 39 40 40 199 102 135 199 199 
159 34 37 39 29 35 105 52 199 199 
160 41 34 37 43 56 55 101 199 199 
161 37 51 39 53 77 68 199 199 199 
162 48 38 39 44 44 151 199 199 199 
163 39 60 56 40 67 60 199 199 199 
164 38 43 35 41 53 47 99 199 199 
165 43 44 51 48 79 65 136 121 199 
166 29 48 11 41 52 59 199 199 199 
167 48 44 45 46 87 76 54 199 199 
168 35 40 43 49 52 86 85 199 199 
169 45 39 46 45 55 199 105 199 199 
170 18 40 47 38 57 99 199 199 199 
171 51 52 44 36 47 51 199 199 199 
172 36 49 40 52 83 33 179 199 199 
173 62 58 41 54 57 52 81 105 199 
174 56 57 57 73 42 41 199 199 199 
175 42 40 43 47 45 59 199 199 199 
176 44 40 52 52 78 57 83 199 199 
177 45 55 56 45 43 86 199 199 199 
178 27 47 47 30 52 71 199 109 199 
179 36 51 46 53 54 44 68 199 199 
180 51 55 40 76 57 45 56 199 199 
181 60 43 38 64 44 58 176 199 199 
182 52 59 56 52 142 64 170 199 199 
183 50 44 68 46 55 67 69 168 199 
184 29 52 50 48 65 65 105 199 199 
185 41 41 46 47 134 112 199 199 199 
186 57 47 44 45 50 65 54 199 199 
187 25 30 64 48 44 48 199 199 199 
188 38 40 45 47 77 68 114 199 199 
189 32 52 54 49 79 122 199 199 199 
190 36 34 55 53 56 64 67 199 199 
191 41 86 91 82 129 199 199 199 168 
192 34 45 37 30 58 199 199 199 199 
193 34 38 60 54 64 64 199 61 199 
194 34 31 42 41 44 52 199 199 151 
195 51 53 52 49 53 199 119 199 199 
196 43 47 36 45 42 65 199 68 199 
197 43 36 39 41 48 199 178 199 199 
198 56 51 47 50 64 66 82 199 199 
199 43 46 47 48 51 64 199 199 199 
