90 164 68 56 47 65 62 59 50 62 41 62 41 68 65 71 92 65 65 62 68 56 74 71 62 77 71 74 149 101 104 199 199 199 
91 89 62 50 56 56 62 62 62 44 68 65 56 56 62 59 59 59 56 50 68 71 80 80 62 44 68 86 146 74 116 122 71 199 
92 149 74 56 62 74 68 62 62 65 50 44 65 65 53 59 59 89 62 77 74 71 62 38 62 65 107 83 170 83 107 199 199 199 
93 122 71 50 62 62 44 59 53 68 62 53 68 41 62 47 62 56 71 53 71 71 71 74 122 83 92 170 89 119 104 199 101 199 
94 199 80 77 32 68 74 62 62 71 53 56 29 59 74 53 71 35 77 86 74 44 62 56 113 173 32 56 134 65 56 56 161 62 
95 182 83 71 47 56 59 92 62 107 113 56 65 83 62 65 32 50 56 62 65 74 65 65 50 65 59 59 122 116 179 199 199 56 
96 80 62 47 59 77 53 41 62 59 59 68 11 62 68 62 56 68 65 50 80 113 38 62 86 68 53 71 62 68 86 137 199 199 
97 199 32 68 65 83 56 50 86 68 62 47 68 35 65 71 68 59 71 62 68 125 71 89 74 50 65 83 74 65 77 199 199 199 
98 113 80 74 41 65 62 71 62 41 71 38 68 77 41 47 77 59 68 59 47 53 92 68 29 50 98 140 119 77 92 199 71 199 
99 98 71 62 53 74 53 65 62 56 74 74 77 50 62 71 62 53 65 68 71 65 74 77 71 59 71 143 182 122 101 122 185 199 
100 137 80 65 83 50 89 56 65 65 62 62 47 65 5 74 68 71 71 74 53 65 56 92 44 65 62 77 110 77 199 140 197 199 
101 47 71 62 77 20 56 62 62 62 65 77 80 80 77 59 44 74 74 59 74 74 80 59 92 83 68 199 101 137 104 188 149 199 
102 68 56 62 65 74 50 56 38 56 65 62 41 59 38 59 47 71 50 65 125 59 53 86 62 101 92 77 119 122 110 92 199 199 
103 134 11 71 74 68 74 62 59 59 47 59 62 65 59 92 53 41 59 80 137 53 71 80 5 47 68 53 65 68 199 92 199 122 
104 199 83 41 59 74 26 47 47 65 53 65 98 59 68 74 71 38 53 77 71 62 86 71 59 59 56 74 56 179 199 199 199 199 
105 179 59 62 65 68 83 17 53 77 47 53 26 44 56 62 80 59 77 68 71 56 56 68 77 92 107 92 149 197 164 155 199 199 
106 83 65 50 50 62 56 47 71 71 65 38 65 59 65 56 65 41 95 68 62 71 83 71 80 104 101 104 107 199 104 199 199 199 
107 199 71 71 56 95 74 47 71 59 59 68 53 41 56 62 56 65 56 47 62 65 62 107 65 65 29 44 125 146 199 185 199 199 
108 167 77 56 53 56 56 80 86 68 62 68 47 53 47 62 68 83 50 62 71 77 71 113 74 188 77 89 95 101 128 199 199 179 
109 152 77 89 89 86 53 68 71 53 53 59 47 68 65 53 68 65 89 68 107 71 38 80 74 95 176 128 199 199 199 199 199 199 
110 122 74 47 50 65 71 53 50 65 56 62 62 68 50 65 65 50 71 68 71 53 62 71 92 59 50 77 89 107 128 197 199 137 
111 77 65 65 80 77 68 38 65 23 59 95 77 47 62 119 56 65 71 35 62 47 62 116 77 77 50 110 143 164 131 128 199 199 
112 143 53 71 59 59 101 74 68 41 62 68 35 62 56 65 62 80 71 62 20 74 68 65 62 71 77 146 101 113 137 38 199 199 
113 92 65 5 56 65 50 80 68 44 59 44 62 65 62 59 68 50 68 68 68 47 50 101 77 101 77 68 74 155 155 110 199 199 
114 164 56 56 32 53 74 44 83 41 59 62 56 59 56 53 29 113 71 71 83 71 56 74 68 101 199 59 62 77 59 199 199 119 
115 176 110 89 74 62 74 62 68 59 71 41 68 71 68 80 59 47 80 101 68 56 65 56 47 119 59 89 86 199 116 161 199 155 
116 146 62 56 65 68 71 83 65 41 41 62 71 44 68 50 65 59 59 50 56 74 50 47 50 74 47 68 92 137 119 143 125 199 
117 197 83 68 53 50 44 59 44 38 59 68 38 53 56 50 77 68 62 74 44 53 74 86 92 50 134 89 131 107 199 155 140 199 
118 113 56 53 68 74 53 35 59 65 62 65 71 59 68 38 47 62 65 53 65 71 62 47 53 47 86 65 68 95 80 199 199 199 
119 74 59 44 44 83 68 41 77 65 65 50 44 62 71 65 71 68 29 104 89 77 86 62 95 65 59 104 62 65 89 98 199 199 
120 197 74 95 65 56 62 62 53 53 62 59 56 77 53 68 56 65 20 44 68 56 65 53 53 50 68 53 170 29 92 188 110 68 
121 95 44 65 47 65 62 53 62 62 53 50 56 56 38 23 59 62 29 50 62 137 86 77 86 173 71 92 113 122 128 146 125 173 
122 89 152 38 83 71 65 71 47 65 68 53 44 56 74 62 68 71 68 86 65 74 98 71 68 68 44 128 191 188 80 137 128 170 
123 199 56 53 80 65 47 44 53 38 56 56 38 50 65 56 65 56 62 65 53 59 77 53 59 53 68 92 110 83 104 86 179 146 
124 199 98 71 62 74 77 59 68 62 59 68 65 56 62 68 56 74 35 59 56 68 56 56 74 77 92 86 199 134 199 199 199 191 
125 199 71 62 65 68 53 77 41 56 65 47 59 59 62 17 74 71 68 62 71 38 47 80 74 53 62 92 68 80 71 101 155 5 
126 125 68 59 68 77 65 62 53 62 68 50 71 71 80 35 62 50 56 62 71 74 65 47 59 44 71 140 35 164 152 199 199 149 
127 185 56 71 47 65 83 62 68 47 74 50 59 83 56 56 62 68 56 59 53 38 77 71 86 92 101 158 170 65 199 199 176 199 
128 131 56 74 71 53 65 56 56 65 53 59 47 59 53 38 62 50 65 65 47 50 53 59 65 77 65 95 98 86 199 161 101 199 
129 95 47 53 38 50 59 47 53 47 56 32 65 56 38 68 71 62 65 59 65 65 53 50 59 74 59 199 98 107 152 194 199 199 
130 199 68 74 59 71 59 62 71 62 50 62 14 71 59 56 47 59 146 191 107 32 59 95 199 199 152 71 62 53 95 199 199 199 
131 137 59 44 20 59 62 56 56 68 38 74 65 44 59 71 77 65 59 47 41 77 80 53 59 71 149 89 62 71 47 199 119 199 
132 119 74 65 71 56 53 50 71 56 38 41 56 59 50 71 59 74 77 50 53 80 158 65 80 71 116 65 65 194 89 101 199 199 
133 199 59 74 65 62 71 59 53 26 62 56 11 59 62 17 56 65 71 62 74 65 41 68 101 62 116 80 71 80 101 101 199 199 
134 176 71 47 11 41 47 65 56 62 71 71 68 50 53 53 47 65 74 56 149 62 65 98 68 59 74 59 83 68 107 199 170 199 
135 199 80 62 35 56 59 56 68 59 59 59 62 29 50 56 41 35 56 74 59 62 50 74 80 89 80 197 179 95 199 137 119 199 
136 77 71 68 74 53 59 65 74 62 59 53 74 8 50 44 65 59 56 65 50 65 59 77 53 83 74 104 101 179 110 155 104 185 
137 95 62 47 74 62 53 47 62 68 35 62 53 59 74 53 56 53 62 65 29 62 56 62 62 41 56 86 56 89 137 199 199 199 
138 137 65 68 71 83 86 47 62 71 74 80 80 59 71 44 71 50 59 26 77 62 56 77 44 8 149 101 89 152 98 122 199 199 
139 152 199 71 74 47 71 62 53 62 62 62 80 65 68 62 53 62 68 59 146 44 77 53 50 74 20 125 110 77 56 47 134 199 
140 107 65 68 59 53 47 20 53 68 53 59 62 32 62 50 59 74 50 68 80 62 53 50 71 65 95 128 158 199 199 199 155 199 
141 122 71 68 68 74 77 68 56 59 38 53 56 65 53 101 47 53 59 68 71 50 41 44 68 101 83 89 83 113 125 199 155 199 
142 199 77 83 62 83 50 71 68 83 68 68 50 35 56 50 53 56 41 68 59 101 71 59 77 65 65 65 101 89 74 199 199 131 
143 89 47 56 68 74 56 74 89 68 68 68 59 26 65 68 74 74 71 20 56 62 77 110 68 68 71 77 59 199 107 199 199 199 
144 140 68 62 59 59 44 47 62 50 59 77 50 68 47 86 53 59 71 71 68 53 68 62 77 74 68 71 56 199 199 122 199 199 
145 80 53 56 62 50 44 74 44 44 59 80 56 62 56 77 59 53 86 68 86 47 53 35 122 107 77 68 95 86 86 194 199 131 
146 80 62 62 56 56 77 56 71 53 50 56 71 65 56 62 71 11 71 53 47 14 59 62 65 140 74 83 68 185 68 140 199 199 
147 125 77 41 65 74 65 50 68 56 53 50 59 65 59 44 62 26 65 59 44 68 74 56 68 59 53 59 56 155 110 119 199 199 
148 95 68 68 65 44 62 71 71 50 50 50 68 56 59 47 65 101 56 53 92 56 53 74 41 65 83 14 92 158 104 199 107 199 
