147 199 110 62 65 110 62 53 59 59 71 104 86 92 199 
148 199 77 65 77 56 53 62 65 47 71 83 83 149 199 
149 199 59 68 59 83 20 62 38 74 107 125 86 74 53 
150 122 59 134 65 38 92 32 65 50 89 158 107 65 199 
151 194 104 56 65 71 68 23 50 113 56 71 89 158 199 
152 116 56 50 74 71 65 71 50 83 59 71 74 199 199 
153 158 65 50 47 92 68 65 65 77 35 50 131 199 199 
154 134 71 59 65 74 47 68 71 59 62 62 110 194 152 
155 98 47 71 101 71 98 53 65 77 65 128 47 199 199 
156 134 95 83 74 86 116 50 53 47 77 41 80 182 140 
157 199 65 41 71 68 53 62 62 74 74 80 65 128 197 
158 104 17 47 68 56 47 53 68 41 62 68 89 104 199 
159 199 77 59 65 56 62 47 59 83 68 98 104 182 199 
160 161 92 59 59 71 71 68 92 41 89 86 80 191 199 
161 86 65 56 74 80 23 68 53 80 128 83 119 199 199 
162 83 68 119 62 65 44 74 116 89 56 83 83 137 199 
163 173 95 74 62 68 47 62 65 50 59 65 83 62 137 
164 167 56 32 65 74 62 53 29 47 65 122 80 199 199 
165 89 119 74 50 65 20 56 44 65 44 59 107 20 199 
166 89 62 98 68 65 71 80 77 74 65 47 92 101 17 
167 107 77 86 62 68 56 65 62 56 86 80 86 199 5 
168 191 83 77 59 53 62 53 56 71 68 86 65 170 199 
169 199 146 68 59 89 56 62 68 62 56 113 65 131 11 
170 107 65 68 71 71 71 53 77 65 74 68 92 125 199 
171 199 74 50 92 62 74 59 86 56 74 41 47 113 199 
172 143 62 68 56 38 62 38 44 59 23 56 71 86 199 
173 80 59 44 56 53 35 62 89 77 77 68 89 167 199 
174 199 59 53 80 83 62 50 62 56 68 83 62 83 199 
175 119 53 56 65 20 50 65 53 59 47 23 56 62 74 
176 50 53 53 68 83 56 74 65 59 83 125 74 176 199 
177 161 68 38 56 68 44 83 59 62 47 35 83 98 199 
178 152 47 59 56 59 62 59 62 68 74 62 131 110 199 
179 92 56 74 53 77 41 59 65 83 77 83 170 199 199 
180 101 56 41 53 62 71 80 83 62 56 59 95 53 199 
181 164 71 68 89 80 65 68 107 62 74 119 86 161 128 
182 110 62 59 41 53 20 71 56 65 113 98 143 182 199 
183 95 44 86 56 62 74 77 53 68 77 77 62 137 199 
184 104 68 23 62 68 29 74 80 59 38 56 59 53 199 
185 173 62 56 50 59 98 65 71 65 65 56 92 80 199 
186 134 83 65 50 65 56 71 59 59 59 62 53 71 199 
187 199 47 59 59 74 50 53 59 74 83 65 170 199 199 
188 182 98 71 62 68 92 77 80 71 86 71 80 47 199 
189 173 59 56 80 56 59 35 83 68 65 68 149 86 191 
190 68 53 68 65 86 71 71 65 83 65 65 101 164 164 
191 199 59 83 86 47 5 47 89 74 65 59 179 95 191 
192 199 98 68 68 47 83 14 68 80 74 62 110 83 199 
193 113 62 62 32 68 62 65 68 155 65 65 62 199 199 
194 199 53 38 47 53 5 77 71 50 65 68 86 137 86 
195 95 53 71 74 41 68 68 62 74 53 83 161 59 199 
196 83 59 56 59 86 59 56 59 68 89 83 164 182 199 
197 199 80 68 71 77 56 47 80 56 71 170 89 199 199 
198 101 53 62 56 113 71 80 59 59 59 110 199 199 191 
199 134 95 86 74 50 71 50 68 65 74 59 199 164 161 
