87 182 80 71 59 71 86 56 83 83 50 50 77 35 62 65 74 68 107 68 32 59 80 98 38 
88 83 65 65 56 50 41 65 77 65 80 77 89 65 62 71 62 77 74 68 155 80 89 199 158 
89 101 59 74 77 62 65 56 68 83 65 71 59 74 68 68 59 92 89 107 44 167 199 131 199 
90 199 62 35 62 68 53 62 65 65 47 53 65 65 65 62 68 71 53 65 83 131 199 182 113 
91 179 56 62 59 50 71 53 65 80 50 44 62 68 71 59 59 89 104 86 71 101 80 197 199 
92 182 164 89 74 50 59 74 68 68 59 86 62 116 29 62 53 68 68 119 74 89 199 199 199 
93 167 71 59 80 59 68 53 65 74 83 71 95 62 59 65 35 65 71 74 110 199 199 199 199 
94 119 68 68 17 77 56 53 59 71 74 74 62 71 68 68 92 89 83 199 47 149 164 199 199 
95 107 59 59 50 50 68 56 62 62 80 56 44 53 74 59 122 86 83 83 101 101 199 199 199 
96 44 104 47 53 98 20 53 59 65 53 41 50 59 59 23 41 71 77 59 77 155 199 199 199 
97 170 122 77 77 62 68 68 68 56 71 86 59 53 71 83 62 80 143 104 101 95 199 199 199 
98 107 47 101 74 47 50 53 89 59 50 53 53 68 71 65 53 71 56 44 68 199 149 188 199 
99 199 62 71 62 20 50 71 77 74 47 50 65 74 47 65 74 74 86 92 140 199 199 199 199 
100 80 50 65 35 62 59 71 74 77 65 74 68 59 71 65 74 59 77 125 122 122 134 199 199 
101 140 77 50 80 74 74 68 74 59 53 65 68 35 59 77 92 80 77 56 50 74 101 199 199 
102 65 17 71 62 62 62 38 41 38 53 68 71 62 41 59 62 62 41 65 140 119 86 173 199 
103 179 71 80 77 29 77 86 74 77 53 50 53 71 35 50 62 65 89 199 98 80 143 199 199 
104 199 47 59 56 62 56 59 53 56 56 47 71 53 62 56 59 83 74 119 143 146 199 167 199 
105 140 86 80 68 83 59 59 50 62 68 71 89 62 113 71 65 62 62 143 110 98 199 199 199 
106 119 50 59 71 68 56 53 56 68 77 62 86 68 65 62 158 83 80 77 62 125 197 199 199 
107 107 53 56 56 62 56 65 71 68 68 53 59 50 59 38 59 74 80 44 71 74 107 38 199 
108 173 50 32 41 56 80 59 62 53 56 59 83 65 50 68 74 77 86 92 92 122 170 199 199 
109 199 62 56 53 56 68 65 68 56 68 95 56 77 56 59 104 71 131 47 83 164 199 199 199 
