61 179 104 68 59 47 44 38 35 29 29 20 155 65 59 50 53 65 53 50 68 65 56 179 95 65 53 11 71 62 86 80 89 83 44 50 68 59 38 80 32 98 122 83 110 
62 134 71 38 32 29 26 26 128 98 50 59 155 68 74 65 56 62 62 65 65 53 47 83 50 65 44 56 62 68 65 68 62 62 71 56 47 65 62 62 59 83 71 56 143 
63 199 137 74 56 38 29 20 17 26 38 41 199 152 92 92 68 116 116 137 35 38 89 74 137 95 20 83 65 59 56 62 89 59 53 47 119 74 68 104 59 122 113 104 83 
64 199 185 116 95 188 59 35 68 35 23 32 199 104 98 95 83 65 65 71 80 80 53 199 113 68 74 77 65 68 56 83 71 59 77 77 80 80 116 83 50 80 71 80 143 
65 191 98 56 41 38 32 23 35 32 29 26 199 113 77 59 65 53 65 41 41 56 62 199 182 107 83 74 53 77 77 41 53 68 59 59 32 83 68 98 86 59 77 32 77 
66 199 101 62 59 50 53 26 23 23 41 44 199 125 86 71 113 59 32 44 113 47 53 137 53 89 53 71 62 71 35 62 74 68 101 71 47 35 56 65 80 68 83 74 134 
67 80 38 23 20 152 68 77 53 47 47 41 199 199 98 83 65 44 65 68 35 119 83 199 199 116 68 65 68 71 83 62 56 68 119 80 62 95 80 86 59 77 47 83 92 
68 155 80 47 35 32 26 29 23 20 17 17 199 131 89 62 71 65 17 56 44 47 32 199 101 65 68 53 89 59 95 83 41 71 56 68 53 68 50 53 71 77 98 68 86 
69 199 104 68 50 44 41 41 44 50 44 41 182 95 62 62 53 59 44 65 68 62 38 158 80 74 65 47 50 77 56 62 50 56 56 59 41 53 53 65 68 65 80 68 92 
70 199 199 128 92 77 62 56 44 38 38 35 125 50 44 149 41 80 86 56 56 65 59 199 199 134 137 92 83 71 65 50 77 59 29 47 107 77 62 74 68 65 65 116 71 
71 199 146 83 50 38 53 104 80 71 74 56 199 89 86 53 68 77 83 56 80 56 59 199 77 68 68 50 53 59 53 68 62 68 80 74 77 89 71 65 68 65 65 92 59 
72 140 77 47 68 44 38 32 38 32 26 23 199 101 59 68 65 26 56 59 71 56 71 101 80 68 59 56 50 71 62 68 80 83 62 53 68 56 44 116 122 95 98 95 86 
73 95 50 35 32 29 101 74 71 53 44 38 199 185 83 71 59 50 71 62 59 41 62 20 137 68 56 53 56 47 59 71 74 47 83 68 65 56 74 68 89 68 80 74 92 
74 140 65 41 26 20 20 23 26 23 23 17 164 44 92 53 47 41 65 62 65 50 74 107 92 56 53 29 56 65 74 59 71 50 71 50 65 77 77 56 68 56 80 47 92 
75 158 77 47 50 32 23 20 47 35 131 107 199 119 71 68 56 68 50 68 53 53 62 122 83 53 53 62 35 50 53 56 68 65 71 56 59 68 77 41 71 71 71 149 131 
76 199 199 119 199 185 104 104 20 17 17 14 199 152 89 80 65 83 71 71 29 89 65 194 86 65 74 77 53 50 110 83 89 101 143 86 77 92 68 47 53 83 47 65 152 
77 161 80 44 35 29 26 38 11 29 29 32 146 68 38 44 56 23 17 50 59 62 20 113 65 53 23 65 56 62 41 56 50 62 71 71 59 35 77 59 77 86 86 62 86 
